boss_id,requirement_id
boss_ddb85a647a6d9dfe6790,requirement_supplemental_rule_0001
boss_259859caecbb617fb0c3,requirement_supplemental_rule_0002
boss_4b28f8153496be05cf08,requirement_supplemental_rule_0003
boss_78fe3c85d321f5f6546e,requirement_supplemental_rule_0004
boss_5fca70ec7da4142e8d44,requirement_supplemental_rule_0005
boss_7bb68e59948ba41b0fce,requirement_supplemental_rule_0006
boss_63b3f6ff39eca0079882,requirement_supplemental_rule_0007
boss_23965e5fcca86bbf8e08,requirement_supplemental_rule_0008
boss_2ad34e7f457e3d95aa15,requirement_supplemental_rule_0009
boss_86596e5ce11b2fdae425,requirement_supplemental_rule_0010
boss_399ab42d09f06eb15187,requirement_supplemental_rule_0011
boss_766aab6548ca66b1ae03,requirement_supplemental_rule_0012
boss_87eb7ebc024b9df7d603,requirement_supplemental_rule_0013
boss_8a2ac9c5fcdc482d7aa9,requirement_supplemental_rule_0014
boss_1d0e4f76a7719923ed7a,requirement_supplemental_rule_0015
boss_73fc760a7e2d5b1d4342,requirement_supplemental_rule_0016
boss_b6bc57fb66e2defbcf99,requirement_supplemental_rule_0017
boss_454a494fb98ddb0b293f,requirement_supplemental_rule_0018
boss_3a77c98d63a4a6d05c6f,requirement_supplemental_rule_0019
boss_560afaf42585696f12e9,requirement_supplemental_rule_0020
boss_4cff415747643b5aa4da,requirement_supplemental_rule_0021
boss_7a00ea60d384377541df,requirement_supplemental_rule_0022
boss_a890cdfe7f81046a7892,requirement_supplemental_rule_0023
boss_b1ca581461528064bfdd,requirement_supplemental_rule_0024
boss_049cce59d0f4517943f0,requirement_supplemental_rule_0025
boss_d745ce0e34275d012dc9,requirement_supplemental_rule_0026
boss_e3a411803cbfd5903632,requirement_supplemental_rule_0027
boss_4ee8243f0cb5d177d473,requirement_supplemental_rule_0028
boss_5506a157461b6e69fd32,requirement_supplemental_rule_0029
boss_bcf5ac0effc07e9de855,requirement_supplemental_rule_0030
boss_8a41e30884b4bdd3df03,requirement_supplemental_rule_0031
boss_63a8d525a5a8d311f237,requirement_supplemental_rule_0032
boss_3ee6c5444133b675d6f4,requirement_supplemental_rule_0033
boss_35e0a64d1cd10829fb95,requirement_supplemental_rule_0034
boss_6ca35e35b7450382e47b,requirement_supplemental_rule_0035
