equipment_id,set_effect_id
equipment_f5cbb9e8ca8b6f19449c,set_cbaf91fdf39553d223a4
equipment_c4782c6715f2325d7172,set_f2d9a69868c2c86725ae
equipment_d09b5c996f063ba8c6f3,set_f2d9a69868c2c86725ae
equipment_af9e7f339efe7a385f96,set_f2d9a69868c2c86725ae
equipment_e04245a5111d5e6f25ff,set_f2d9a69868c2c86725ae
equipment_5e8c931e70ef15587f4d,set_cbaf91fdf39553d223a4
equipment_fa3afbf70ede1af30ba5,set_f2d9a69868c2c86725ae
equipment_a195b3cb7b0f23c2ed80,set_f2d9a69868c2c86725ae
equipment_cbd045bba1bafbd5d997,set_f2d9a69868c2c86725ae
equipment_9d741c573893308d0dcb,set_f2d9a69868c2c86725ae
equipment_f1eb086da50bb3a47906,set_884e02555ed5a640a62d
equipment_8f989fc5818c42ed6f45,set_884e02555ed5a640a62d
equipment_6e57ca07b17949ea2110,set_884e02555ed5a640a62d
equipment_4557bf03f8457e3a396a,set_00537e62979889809428
equipment_66269d58e2400d35959f,set_00537e62979889809428
equipment_ff172e64163811bf3cd4,set_00537e62979889809428
equipment_06e15f94bba2b95f2e90,set_00537e62979889809428
equipment_93108a0168aa882db545,set_884e02555ed5a640a62d
equipment_e9b8810507e6384d2b8d,set_884e02555ed5a640a62d
equipment_70009129b01955296bea,set_884e02555ed5a640a62d
equipment_02ba306c759951dde4f7,set_f2d9a69868c2c86725ae
equipment_31c9f5a2d43faf448732,set_884e02555ed5a640a62d
equipment_d243fc9b1765bd6aa9be,set_f2d9a69868c2c86725ae
equipment_cca6ad7cc1c0aa19e6f6,set_f2d9a69868c2c86725ae
equipment_14c08a17bc1d5c8b797d,set_884e02555ed5a640a62d
equipment_23a04387ec85a0c1e5db,set_884e02555ed5a640a62d
equipment_682b790355f6d512d1a5,set_884e02555ed5a640a62d
equipment_c65693f27f4d68f8a8f1,set_00537e62979889809428
equipment_880293956b594309fe77,set_00537e62979889809428
equipment_6e6474a6ebe8a38dec6e,set_00537e62979889809428
equipment_37811da88b36d5f19578,set_884e02555ed5a640a62d
equipment_dc37dea920ba5a238739,set_884e02555ed5a640a62d
equipment_41f50c3a93db63eeeb94,set_884e02555ed5a640a62d
equipment_0d3dfe230ea162e2ff26,set_884e02555ed5a640a62d
equipment_5219f6baac4e4aa5efae,set_884e02555ed5a640a62d
equipment_7298b890902846a24596,set_00537e62979889809428
equipment_5672416c2318e4887a6f,set_884e02555ed5a640a62d
equipment_d477594fc5cc35efca01,set_cbaf91fdf39553d223a4
equipment_8a02bc7d4ccf275f56d6,set_884e02555ed5a640a62d
equipment_499f09ef25b9005b2522,set_00537e62979889809428
equipment_9eef35aac45f65a259b3,set_00537e62979889809428
equipment_12c48b01820d39022c4b,set_00537e62979889809428
equipment_1d3b6440b2bed4eed7ca,set_00537e62979889809428
equipment_59b11ef2faab2fac734f,set_00537e62979889809428
equipment_ffd3857db82009d290d9,set_cbaf91fdf39553d223a4
equipment_99c80545b8ffb9983c31,set_884e02555ed5a640a62d
equipment_7b4c2b4b003a16c8e7b0,set_884e02555ed5a640a62d
equipment_0d5cc844e3bdaf679c61,set_884e02555ed5a640a62d
equipment_55da4ed857f097ede049,set_884e02555ed5a640a62d
equipment_445dd8e3514ed59fb066,set_cbaf91fdf39553d223a4
equipment_4d2ffba662504d89340a,set_884e02555ed5a640a62d
equipment_5e9900d5e0659033b28c,set_00537e62979889809428
equipment_d15f673222c9ea62ccc9,set_00537e62979889809428
equipment_c138b0f926da02e97ad5,set_00537e62979889809428
equipment_b51d277ff7450ea54534,set_f2d9a69868c2c86725ae
equipment_443bd43b00e593657760,set_cbaf91fdf39553d223a4
equipment_3d3767dd80200c05b1b3,set_f2d9a69868c2c86725ae
equipment_d501736d7dfdf64f1511,set_f2d9a69868c2c86725ae
equipment_3c0f7ff9420bee92e965,set_f2d9a69868c2c86725ae
equipment_111fbdef45374c021614,set_f2d9a69868c2c86725ae
equipment_fc303d7af3185c770d1e,set_884e02555ed5a640a62d
equipment_871873398e954e82ac1d,set_884e02555ed5a640a62d
equipment_1e9c52cec9f866e9b070,set_884e02555ed5a640a62d
equipment_9ba7092e2e4867e02ff1,set_f2d9a69868c2c86725ae
equipment_715a913ad18650518913,set_f2d9a69868c2c86725ae
equipment_cbe27f97bdc89ca81680,set_f2d9a69868c2c86725ae
equipment_9d8c4ebce127535fe008,set_f2d9a69868c2c86725ae
