source_id,entity_label,entity_id
source_domain,StatType,stat_STR
source_domain,StatType,stat_DEX
source_domain,StatType,stat_INT
source_domain,StatType,stat_LUK
source_domain,StatType,stat_ATTACK_POWER
source_domain,StatType,stat_MAGIC_POWER
source_domain,StatType,stat_BOSS_DAMAGE
source_domain,StatType,stat_IGNORE_DEF
source_domain,StatType,stat_DAMAGE
source_domain,StatType,stat_CRIT_RATE
source_domain,StatType,stat_CRIT_DAMAGE
source_domain,StatType,stat_ARCANE_FORCE
source_domain,StatType,stat_AUTHENTIC_FORCE
source_domain,StatType,stat_COMBAT_POWER
source_openapi,StatType,stat_STR
source_openapi,StatType,stat_DEX
source_openapi,StatType,stat_INT
source_openapi,StatType,stat_LUK
source_openapi,StatType,stat_ATTACK_POWER
source_openapi,StatType,stat_MAGIC_POWER
source_openapi,StatType,stat_BOSS_DAMAGE
source_openapi,StatType,stat_IGNORE_DEF
source_openapi,StatType,stat_DAMAGE
source_openapi,StatType,stat_CRIT_RATE
source_openapi,StatType,stat_CRIT_DAMAGE
source_openapi,StatType,stat_ARCANE_FORCE
source_openapi,StatType,stat_AUTHENTIC_FORCE
source_openapi,StatType,stat_COMBAT_POWER
