boss_id,name,difficulty,required_level,boss_type,description
boss_ddb85a647a6d9dfe6790,Zakum,Easy,60,boss,"rule_file: boss_requirements_verified.csv boss: Zakum difficulty: Easy minimum level: 50, recommended level: 60 required force: arcane 0, sacred 0 combat power: minimum 50000, recommended 150000 main stat: minimum 1000, recommended 2000 damage stats: boss damage 0, ignore defense 0, critical rate 60..."
boss_259859caecbb617fb0c3,Zakum,Normal,100,boss,"rule_file: boss_requirements_verified.csv boss: Zakum difficulty: Normal minimum level: 90, recommended level: 100 required force: arcane 0, sacred 0 combat power: minimum 300000, recommended 800000 main stat: minimum 3000, recommended 5000 damage stats: boss damage 30, ignore defense 30, critical r..."
boss_4b28f8153496be05cf08,Zakum,Chaos,160,boss,"rule_file: boss_requirements_verified.csv boss: Zakum difficulty: Chaos minimum level: 90, recommended level: 160 required force: arcane 0, sacred 0 combat power: minimum 1500000, recommended 3000000 main stat: minimum 8000, recommended 12000 damage stats: boss damage 100, ignore defense 70, critica..."
boss_78fe3c85d321f5f6546e,Hilla,Normal,140,boss,"rule_file: boss_requirements_verified.csv boss: Hilla difficulty: Normal minimum level: 120, recommended level: 140 required force: arcane 0, sacred 0 combat power: minimum 700000, recommended 1500000 main stat: minimum 5000, recommended 8000 damage stats: boss damage 50, ignore defense 50, critical..."
boss_5fca70ec7da4142e8d44,Hilla,Hard,190,boss,"rule_file: boss_requirements_verified.csv boss: Hilla difficulty: Hard minimum level: 170, recommended level: 190 required force: arcane 0, sacred 0 combat power: minimum 2500000, recommended 5000000 main stat: minimum 10000, recommended 15000 damage stats: boss damage 120, ignore defense 75, critic..."
boss_7bb68e59948ba41b0fce,Pink Bean,Normal,180,boss,"rule_file: boss_requirements_verified.csv boss: Pink Bean difficulty: Normal minimum level: 160, recommended level: 180 required force: arcane 0, sacred 0 combat power: minimum 2000000, recommended 4500000 main stat: minimum 10000, recommended 15000 damage stats: boss damage 120, ignore defense 75,..."
boss_63b3f6ff39eca0079882,Cygnus,Easy,170,boss,"rule_file: boss_requirements_verified.csv boss: Cygnus difficulty: Easy minimum level: 140, recommended level: 170 required force: arcane 0, sacred 0 combat power: minimum 1500000, recommended 3500000 main stat: minimum 9000, recommended 14000 damage stats: boss damage 100, ignore defense 70, critic..."
boss_23965e5fcca86bbf8e08,Cygnus,Normal,190,boss,"rule_file: boss_requirements_verified.csv boss: Cygnus difficulty: Normal minimum level: 165, recommended level: 190 required force: arcane 0, sacred 0 combat power: minimum 4000000, recommended 8000000 main stat: minimum 14000, recommended 20000 damage stats: boss damage 150, ignore defense 80, cri..."
boss_2ad34e7f457e3d95aa15,Papulatus,Normal,180,boss,"rule_file: boss_requirements_verified.csv boss: Papulatus difficulty: Normal minimum level: 115, recommended level: 180 required force: arcane 0, sacred 0 combat power: minimum 2500000, recommended 5000000 main stat: minimum 10000, recommended 16000 damage stats: boss damage 120, ignore defense 75,..."
boss_86596e5ce11b2fdae425,Papulatus,Chaos,210,boss,"rule_file: boss_requirements_verified.csv boss: Papulatus difficulty: Chaos minimum level: 190, recommended level: 210 required force: arcane 0, sacred 0 combat power: minimum 9000000, recommended 18000000 main stat: minimum 18000, recommended 26000 damage stats: boss damage 180, ignore defense 85,..."
