rule_id,name,rule_type,rule_file,stage,level_range,job_group,item_slot,current_tier,recommended_tier,item_tier,minimum_starforce,recommended_starforce,stop_point,potential_grade,option_type,priority,priority_rank,valid_options,bad_options,target_grade,additional_potential,flame_score,minimum_score,recommended_score,high_score,upgrade_priority,condition,reason,recommended_action,api_slot_name,standard_slot_name,item_category,is_core_slot,recommendation_use,notes,calculation_note,review_status,source_id,description
equipment_rule_supplemental_rule_0046,early_bossing weapon equipment progression,progression,equipment_progression_rules.csv,early_bossing,200-219,all,weapon,pensalir_or_frozen,fafnir_or_absolab,,10,12,,epic,,attack/magic_attack% or boss_damage% or ignore_defense%,,,,,attack/magic_attack flat,"minimum 0, recommended 0",,,,1,pre CRA / early bossing,weapon trio gives high damage efficiency,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0046,"rule_file: equipment_progression_rules.csv stage: early_bossing, level range: 200-219, job group: all slot: weapon, current tier: pensalir_or_frozen, recommended tier: fafnir_or_absolab starforce: minimum 10, target 12 potential grade: epic, priority: attack/magic_attack% or boss_damage% or ignore_defense% additional potential: attack/magic_attack flat flame score: minimum 0, recommended 0 upgrade priority: 1, condition: pre CRA / early bossing reason: weapon trio gives high damage efficiency re..."
equipment_rule_supplemental_rule_0047,early_bossing secondary_weapon equipment progression,progression,equipment_progression_rules.csv,early_bossing,200-219,all,secondary_weapon,pensalir_or_frozen,fafnir_or_absolab,,10,12,,epic,,attack/magic_attack% or boss_damage% or ignore_defense%,,,,,attack/magic_attack flat,"minimum 0, recommended 0",,,,1,pre CRA / early bossing,weapon trio gives high damage efficiency,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0047,"rule_file: equipment_progression_rules.csv stage: early_bossing, level range: 200-219, job group: all slot: secondary_weapon, current tier: pensalir_or_frozen, recommended tier: fafnir_or_absolab starforce: minimum 10, target 12 potential grade: epic, priority: attack/magic_attack% or boss_damage% or ignore_defense% additional potential: attack/magic_attack flat flame score: minimum 0, recommended 0 upgrade priority: 1, condition: pre CRA / early bossing reason: weapon trio gives high damage eff..."
equipment_rule_supplemental_rule_0048,early_bossing emblem equipment progression,progression,equipment_progression_rules.csv,early_bossing,200-219,all,emblem,pensalir_or_frozen,fafnir_or_absolab,,10,12,,epic,,attack/magic_attack% or boss_damage% or ignore_defense%,,,,,attack/magic_attack flat,"minimum 0, recommended 0",,,,1,pre CRA / early bossing,weapon trio gives high damage efficiency,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0048,"rule_file: equipment_progression_rules.csv stage: early_bossing, level range: 200-219, job group: all slot: emblem, current tier: pensalir_or_frozen, recommended tier: fafnir_or_absolab starforce: minimum 10, target 12 potential grade: epic, priority: attack/magic_attack% or boss_damage% or ignore_defense% additional potential: attack/magic_attack flat flame score: minimum 0, recommended 0 upgrade priority: 1, condition: pre CRA / early bossing reason: weapon trio gives high damage efficiency re..."
equipment_rule_supplemental_rule_0049,early_bossing armor_set equipment progression,progression,equipment_progression_rules.csv,early_bossing,200-219,all,armor_set,pensalir,cra_3set_or_absolab,,10,12,,epic,,main_stat%,,,,,main_stat flat,"minimum 40, recommended 60",,,,2,pre CRA / early bossing,set effect and starforce baseline,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0049,"rule_file: equipment_progression_rules.csv stage: early_bossing, level range: 200-219, job group: all slot: armor_set, current tier: pensalir, recommended tier: cra_3set_or_absolab starforce: minimum 10, target 12 potential grade: epic, priority: main_stat% additional potential: main_stat flat flame score: minimum 40, recommended 60 upgrade priority: 2, condition: pre CRA / early bossing reason: set effect and starforce baseline review_status: draft_needs_team_review"
equipment_rule_supplemental_rule_0050,early_bossing accessory_set equipment progression,progression,equipment_progression_rules.csv,early_bossing,200-219,all,accessory_set,boss_accessory,boss_accessory_9set,,8,10,,rare_or_epic,,main_stat%,,,,,main_stat flat,"minimum 30, recommended 50",,,,3,fill empty accessory slots,low cost power gain,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0050,"rule_file: equipment_progression_rules.csv stage: early_bossing, level range: 200-219, job group: all slot: accessory_set, current tier: boss_accessory, recommended tier: boss_accessory_9set starforce: minimum 8, target 10 potential grade: rare_or_epic, priority: main_stat% additional potential: main_stat flat flame score: minimum 30, recommended 50 upgrade priority: 3, condition: fill empty accessory slots reason: low cost power gain review_status: draft_needs_team_review"
equipment_rule_supplemental_rule_0051,mid_bossing weapon equipment progression,progression,equipment_progression_rules.csv,mid_bossing,220-249,all,weapon,fafnir_or_absolab,absolab_or_arcane,,12,17,,unique,,boss_damage%/attack%/magic_attack%/ignore_defense%,,,,,attack/magic_attack% or flat,"minimum 0, recommended 0",,,,1,CRA to Lomien progression,WSE potential and 17 star target are major breakpoints,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0051,"rule_file: equipment_progression_rules.csv stage: mid_bossing, level range: 220-249, job group: all slot: weapon, current tier: fafnir_or_absolab, recommended tier: absolab_or_arcane starforce: minimum 12, target 17 potential grade: unique, priority: boss_damage%/attack%/magic_attack%/ignore_defense% additional potential: attack/magic_attack% or flat flame score: minimum 0, recommended 0 upgrade priority: 1, condition: CRA to Lomien progression reason: WSE potential and 17 star target are major..."
equipment_rule_supplemental_rule_0052,mid_bossing secondary_weapon equipment progression,progression,equipment_progression_rules.csv,mid_bossing,220-249,all,secondary_weapon,fafnir_or_absolab,absolab_or_arcane,,12,17,,unique,,boss_damage%/attack%/magic_attack%/ignore_defense%,,,,,attack/magic_attack% or flat,"minimum 0, recommended 0",,,,1,CRA to Lomien progression,WSE potential and 17 star target are major breakpoints,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0052,"rule_file: equipment_progression_rules.csv stage: mid_bossing, level range: 220-249, job group: all slot: secondary_weapon, current tier: fafnir_or_absolab, recommended tier: absolab_or_arcane starforce: minimum 12, target 17 potential grade: unique, priority: boss_damage%/attack%/magic_attack%/ignore_defense% additional potential: attack/magic_attack% or flat flame score: minimum 0, recommended 0 upgrade priority: 1, condition: CRA to Lomien progression reason: WSE potential and 17 star target..."
equipment_rule_supplemental_rule_0053,mid_bossing emblem equipment progression,progression,equipment_progression_rules.csv,mid_bossing,220-249,all,emblem,fafnir_or_absolab,absolab_or_arcane,,12,17,,unique,,boss_damage%/attack%/magic_attack%/ignore_defense%,,,,,attack/magic_attack% or flat,"minimum 0, recommended 0",,,,1,CRA to Lomien progression,WSE potential and 17 star target are major breakpoints,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0053,"rule_file: equipment_progression_rules.csv stage: mid_bossing, level range: 220-249, job group: all slot: emblem, current tier: fafnir_or_absolab, recommended tier: absolab_or_arcane starforce: minimum 12, target 17 potential grade: unique, priority: boss_damage%/attack%/magic_attack%/ignore_defense% additional potential: attack/magic_attack% or flat flame score: minimum 0, recommended 0 upgrade priority: 1, condition: CRA to Lomien progression reason: WSE potential and 17 star target are major..."
equipment_rule_supplemental_rule_0054,mid_bossing armor_set equipment progression,progression,equipment_progression_rules.csv,mid_bossing,220-249,all,armor_set,cra_absolab_mix,cra_3set_absolab_5set,,12,17,,epic_to_unique,,main_stat%,,,,,main_stat flat,"minimum 60, recommended 80",,,,2,normal lotus/damien preparation,stable 17 star armor baseline,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0054,"rule_file: equipment_progression_rules.csv stage: mid_bossing, level range: 220-249, job group: all slot: armor_set, current tier: cra_absolab_mix, recommended tier: cra_3set_absolab_5set starforce: minimum 12, target 17 potential grade: epic_to_unique, priority: main_stat% additional potential: main_stat flat flame score: minimum 60, recommended 80 upgrade priority: 2, condition: normal lotus/damien preparation reason: stable 17 star armor baseline review_status: draft_needs_team_review"
equipment_rule_supplemental_rule_0055,mid_bossing accessory_set equipment progression,progression,equipment_progression_rules.csv,mid_bossing,220-249,all,accessory_set,boss_accessory,boss_accessory_or_dawn_pitched_seed,,10,17,,epic_to_unique,,main_stat%,,,,,main_stat flat,"minimum 50, recommended 80",,,,3,boss accessory completion,accessory slots are efficient after WSE baseline,,,,,,,,,draft_needs_team_review,source_supplemental_rule_0055,"rule_file: equipment_progression_rules.csv stage: mid_bossing, level range: 220-249, job group: all slot: accessory_set, current tier: boss_accessory, recommended tier: boss_accessory_or_dawn_pitched_seed starforce: minimum 10, target 17 potential grade: epic_to_unique, priority: main_stat% additional potential: main_stat flat flame score: minimum 50, recommended 80 upgrade priority: 3, condition: boss accessory completion reason: accessory slots are efficient after WSE baseline review_status: d..."
