requirement_id,stat_type_id,value
requirement_8478b62ccf3f221f9b23,stat_COMBAT_POWER,3000
requirement_8478b62ccf3f221f9b23,stat_BOSS_DAMAGE,50
requirement_764b3a7f85d20b792106,stat_COMBAT_POWER,15000
requirement_764b3a7f85d20b792106,stat_BOSS_DAMAGE,150
requirement_764b3a7f85d20b792106,stat_IGNORE_DEF,85
requirement_02b206c1423efdb0fd60,stat_COMBAT_POWER,15000
requirement_02b206c1423efdb0fd60,stat_BOSS_DAMAGE,150
requirement_02b206c1423efdb0fd60,stat_IGNORE_DEF,85
requirement_833be4ea15d44fee8999,stat_COMBAT_POWER,25000
requirement_833be4ea15d44fee8999,stat_ARCANE_FORCE,360
requirement_833be4ea15d44fee8999,stat_BOSS_DAMAGE,200
requirement_833be4ea15d44fee8999,stat_IGNORE_DEF,90
requirement_7a12b872defcbcdab93f,stat_COMBAT_POWER,28000
requirement_7a12b872defcbcdab93f,stat_ARCANE_FORCE,760
requirement_7a12b872defcbcdab93f,stat_BOSS_DAMAGE,220
requirement_7a12b872defcbcdab93f,stat_IGNORE_DEF,90
requirement_da6bbdd85986aa5f2fda,stat_COMBAT_POWER,50000
requirement_da6bbdd85986aa5f2fda,stat_ARCANE_FORCE,360
requirement_da6bbdd85986aa5f2fda,stat_BOSS_DAMAGE,300
requirement_da6bbdd85986aa5f2fda,stat_IGNORE_DEF,93
requirement_f3623f3ad8f9a8fa8ce3,stat_COMBAT_POWER,55000
requirement_f3623f3ad8f9a8fa8ce3,stat_ARCANE_FORCE,760
requirement_f3623f3ad8f9a8fa8ce3,stat_BOSS_DAMAGE,320
requirement_f3623f3ad8f9a8fa8ce3,stat_IGNORE_DEF,93
requirement_3eb48e1436308af0fd7e,stat_COMBAT_POWER,65000
requirement_3eb48e1436308af0fd7e,stat_ARCANE_FORCE,900
requirement_3eb48e1436308af0fd7e,stat_BOSS_DAMAGE,350
requirement_3eb48e1436308af0fd7e,stat_IGNORE_DEF,94
requirement_0ad01b01c8216ad323b8,stat_COMBAT_POWER,90000
requirement_0ad01b01c8216ad323b8,stat_ARCANE_FORCE,1320
requirement_0ad01b01c8216ad323b8,stat_BOSS_DAMAGE,400
requirement_0ad01b01c8216ad323b8,stat_IGNORE_DEF,95
