boss_id,reward_id
boss_9bbe9a0ec62f2a5fb667,reward_b2a0c006409bbdfb5f96
boss_1360a46ade20851d62d0,reward_b2a0c006409bbdfb5f96
boss_b644a6cb269cb3cea81a,reward_b2a0c006409bbdfb5f96
boss_6341c27e231a7a100e44,reward_b2a0c006409bbdfb5f96
boss_fc8cf81381227b0df645,reward_b2a0c006409bbdfb5f96
boss_f51e22909676399d720b,reward_b2a0c006409bbdfb5f96
boss_03d2aeaa5f9189929911,reward_b2a0c006409bbdfb5f96
boss_9051bc01c59a4d2bf0c4,reward_b2a0c006409bbdfb5f96
boss_c7e237e9789beee7f343,reward_b2a0c006409bbdfb5f96
boss_cc84ca6da67427899970,reward_b2a0c006409bbdfb5f96
boss_ddb85a647a6d9dfe6790,reward_b2a0c006409bbdfb5f96
boss_259859caecbb617fb0c3,reward_b2a0c006409bbdfb5f96
boss_4b28f8153496be05cf08,reward_b2a0c006409bbdfb5f96
boss_78fe3c85d321f5f6546e,reward_b2a0c006409bbdfb5f96
boss_5fca70ec7da4142e8d44,reward_b2a0c006409bbdfb5f96
boss_7bb68e59948ba41b0fce,reward_b2a0c006409bbdfb5f96
boss_63b3f6ff39eca0079882,reward_b2a0c006409bbdfb5f96
boss_23965e5fcca86bbf8e08,reward_b2a0c006409bbdfb5f96
boss_2ad34e7f457e3d95aa15,reward_b2a0c006409bbdfb5f96
boss_86596e5ce11b2fdae425,reward_b2a0c006409bbdfb5f96
boss_399ab42d09f06eb15187,reward_b2a0c006409bbdfb5f96
boss_766aab6548ca66b1ae03,reward_b2a0c006409bbdfb5f96
boss_87eb7ebc024b9df7d603,reward_b2a0c006409bbdfb5f96
boss_8a2ac9c5fcdc482d7aa9,reward_b2a0c006409bbdfb5f96
boss_1d0e4f76a7719923ed7a,reward_b2a0c006409bbdfb5f96
boss_73fc760a7e2d5b1d4342,reward_b2a0c006409bbdfb5f96
boss_b6bc57fb66e2defbcf99,reward_b2a0c006409bbdfb5f96
boss_454a494fb98ddb0b293f,reward_b2a0c006409bbdfb5f96
boss_3a77c98d63a4a6d05c6f,reward_b2a0c006409bbdfb5f96
boss_560afaf42585696f12e9,reward_b2a0c006409bbdfb5f96
boss_4cff415747643b5aa4da,reward_b2a0c006409bbdfb5f96
boss_7a00ea60d384377541df,reward_b2a0c006409bbdfb5f96
boss_a890cdfe7f81046a7892,reward_b2a0c006409bbdfb5f96
boss_b1ca581461528064bfdd,reward_b2a0c006409bbdfb5f96
boss_049cce59d0f4517943f0,reward_b2a0c006409bbdfb5f96
boss_d745ce0e34275d012dc9,reward_b2a0c006409bbdfb5f96
boss_e3a411803cbfd5903632,reward_b2a0c006409bbdfb5f96
boss_4ee8243f0cb5d177d473,reward_b2a0c006409bbdfb5f96
boss_5506a157461b6e69fd32,reward_b2a0c006409bbdfb5f96
boss_bcf5ac0effc07e9de855,reward_b2a0c006409bbdfb5f96
boss_8a41e30884b4bdd3df03,reward_b2a0c006409bbdfb5f96
boss_63a8d525a5a8d311f237,reward_b2a0c006409bbdfb5f96
boss_3ee6c5444133b675d6f4,reward_b2a0c006409bbdfb5f96
boss_35e0a64d1cd10829fb95,reward_b2a0c006409bbdfb5f96
boss_6ca35e35b7450382e47b,reward_b2a0c006409bbdfb5f96
boss_4178ab859154e123f981,reward_b2a0c006409bbdfb5f96
boss_70d75e648292cae07562,reward_b2a0c006409bbdfb5f96
boss_30f56617ec058da315c3,reward_b2a0c006409bbdfb5f96
boss_4732396b74328c78bae9,reward_b2a0c006409bbdfb5f96
boss_1a1be560412d49203c59,reward_b2a0c006409bbdfb5f96
boss_34e1ff8834fd8ea3fca6,reward_b2a0c006409bbdfb5f96
boss_0f7c0fe880f53e1b2385,reward_b2a0c006409bbdfb5f96
boss_39db481a4b6c4de6640b,reward_b2a0c006409bbdfb5f96
boss_b84bca37b242eaf518ee,reward_b2a0c006409bbdfb5f96
boss_c2909a6e352f7cabd2a1,reward_b2a0c006409bbdfb5f96
boss_311562d8790f52f2686a,reward_b2a0c006409bbdfb5f96
boss_a9df6ba687c4401ae58c,reward_b2a0c006409bbdfb5f96
boss_366e59ad229ff3b3155d,reward_b2a0c006409bbdfb5f96
boss_48650059dea4cf0f90bc,reward_b2a0c006409bbdfb5f96
boss_d759ba20350fc7f26373,reward_b2a0c006409bbdfb5f96
boss_405ce9db5281fa1bbe9c,reward_b2a0c006409bbdfb5f96
boss_2fc3b35a7691f05db6a7,reward_b2a0c006409bbdfb5f96
boss_9d60701f69a74a6d2045,reward_b2a0c006409bbdfb5f96
boss_ea2dbe301bfa851b6c02,reward_b2a0c006409bbdfb5f96
boss_41877ccffc7dcb00b115,reward_b2a0c006409bbdfb5f96
boss_18cbd9c09c008dd5117e,reward_b2a0c006409bbdfb5f96
boss_7cfc9d88187a40b8eb7a,reward_b2a0c006409bbdfb5f96
boss_d0214fa93d6d4fabfa72,reward_b2a0c006409bbdfb5f96
boss_ca68693fe24eda900bb9,reward_b2a0c006409bbdfb5f96
boss_45a925c5adf10572a6cd,reward_b2a0c006409bbdfb5f96
boss_757c76cde983af69a967,reward_b2a0c006409bbdfb5f96
boss_7f3bb54eb4b07ce23800,reward_b2a0c006409bbdfb5f96
boss_23a68644edf0c0369cff,reward_b2a0c006409bbdfb5f96
boss_b644a6cb269cb3cea81a,reward_539f23bfe6778c6e0180
boss_6341c27e231a7a100e44,reward_539f23bfe6778c6e0180
boss_fc8cf81381227b0df645,reward_8e21ce0d22c138a70968
boss_f51e22909676399d720b,reward_8e21ce0d22c138a70968
boss_03d2aeaa5f9189929911,reward_8e21ce0d22c138a70968
boss_9051bc01c59a4d2bf0c4,reward_8e21ce0d22c138a70968
boss_311562d8790f52f2686a,reward_ae18870e949608fc918f
boss_a9df6ba687c4401ae58c,reward_4c09afbad8ecf6ab1818
boss_366e59ad229ff3b3155d,reward_83dbeea523db666adae8
boss_48650059dea4cf0f90bc,reward_78fd05e05f4d8e1983cb
boss_d759ba20350fc7f26373,reward_0aa2ac5b404e437dae3b
boss_405ce9db5281fa1bbe9c,reward_2fb9c1210a7ef8a11340
boss_2fc3b35a7691f05db6a7,reward_5d773a0002bd1145ec1c
boss_9d60701f69a74a6d2045,reward_ce9247be8611d43c78a9
boss_ea2dbe301bfa851b6c02,reward_5d3415c18718a27c6e1e
boss_41877ccffc7dcb00b115,reward_5d3415c18718a27c6e1e
boss_18cbd9c09c008dd5117e,reward_c9f13e5a09ed06581269
boss_7cfc9d88187a40b8eb7a,reward_8cc74ccd2bb8f6b6bbe3
boss_d0214fa93d6d4fabfa72,reward_65a1685b9c1641c30b28
boss_ca68693fe24eda900bb9,reward_183a5c8c7be5cc455371
boss_45a925c5adf10572a6cd,reward_cb4eab6251b3ba998628
boss_757c76cde983af69a967,reward_575cac07a55b0d40f909
boss_7f3bb54eb4b07ce23800,reward_b447ac3b10714aa8cee4
boss_23a68644edf0c0369cff,reward_0102afebdb2881200312
