job_id,stat_type_id
job_2c13e8024f3eb49d8d39,stat_STR
job_b8ba33fb188026840a2d,stat_STR
job_9a6397b55c5d5ed9cb60,stat_STR
job_69b011ad64a31ee5da74,stat_STR
job_e29bbbb456fec6e62b29,stat_LUK
job_9f2f6309582494b0e3f2,stat_LUK
job_c353b5c308f5c10415d3,stat_LUK
job_96101ae9071d052bbee3,stat_LUK
job_08ce324166d7e257d366,stat_DEX
job_4a80083930839e418161,stat_DEX
job_29aaa5f6799224828bca,stat_DEX
job_2a2a234c1c269e9bca10,stat_DEX
job_cf1c0586154417d98d1b,stat_DEX
job_b7a6ef28998f5afebacc,stat_INT
job_f248d4515d76900ffb9d,stat_INT
job_bfee20045098c8019160,stat_INT
job_7ad68a5e2d28fca36ed0,stat_STR
