alias_id,name,normalized_name,locale
boss_alias_4acdb01400bc90f5f572,Zakum,zakum,en
boss_alias_5d71586fe015e8d5fbfd,자쿰,자쿰,ko
boss_alias_90b4590b12d38ee0a197,카오스 자쿰,카오스자쿰,ko
boss_alias_58b4411c428d9f991270,Hilla,hilla,en
boss_alias_0d8bb69908a04445ebb9,힐라,힐라,ko
boss_alias_c3d7ec3eab943ad2e195,Pink Bean,pinkbean,en
boss_alias_11f0ad12c019d5960563,핑크빈,핑크빈,ko
boss_alias_ad08a40b902a1d45db1e,Cygnus,cygnus,en
boss_alias_2acf16b6b8c4c8228c51,시그너스,시그너스,ko
boss_alias_f3fc9d8047161b7846c1,Papulatus,papulatus,en
boss_alias_0f2d51f7f91ded7a0e26,파풀라투스,파풀라투스,ko
boss_alias_2202236392f438493527,파풀,파풀,ko
boss_alias_0b6eafa92a1361a60391,Von Leon,vonleon,en
boss_alias_5297689339359d7d2df5,반 레온,반레온,ko
boss_alias_a1391607ada5acb0789d,Magnus,magnus,en
boss_alias_c900962102cf09221a01,매그너스,매그너스,ko
boss_alias_45f22e2b71b43c952d49,Von Bon,vonbon,en
boss_alias_b49c64ecf501241297d6,반반,반반,ko
boss_alias_3d4dd99b1f641e0db7e2,Pierre,pierre,en
boss_alias_bc113fdbabf97d3cad1a,피에르,피에르,ko
boss_alias_3f12ce71d44e6ec24de4,Crimson Queen,crimsonqueen,en
boss_alias_047121084aef4108d5d9,블러디 퀸,블러디퀸,ko
boss_alias_93cc4b969520e4aa607c,Vellum,vellum,en
boss_alias_4762001078e51d999d65,벨룸,벨룸,ko
boss_alias_f87edb96de452926f3f9,Akechi Mitsuhide,akechimitsuhide,en
boss_alias_122c4bfba408754bb90a,아케치 미츠히데,아케치미츠히데,ko
boss_alias_6ba9937cf2f143db67e5,아케치,아케치,ko
boss_alias_162b00d6433ee816910b,Lotus,lotus,en
boss_alias_2edd053008f52a132d53,스우,스우,ko
boss_alias_ef8b065def5caa6b88eb,Damien,damien,en
boss_alias_bd0791594ac3385acb56,데미안,데미안,ko
boss_alias_dfada40960912a235732,Lucid,lucid,en
boss_alias_cb725b78d698fd864d77,루시드,루시드,ko
boss_alias_32c5478a456f0244c1c7,Will,will,en
boss_alias_fab569e962d96963375c,윌,윌,ko
boss_alias_fd90ee3fb87144ac6642,Gloom,gloom,en
boss_alias_c357ca761d19142b7d7c,더스크,더스크,ko
boss_alias_716f8d0b7bb13a982d8a,Guard Captain Darknell,guardcaptaindarknell,en
boss_alias_0edf321b3a81f60c4de4,듄켈,듄켈,ko
boss_alias_59adc77fee4929b2bce2,더스크의 수문장 듄켈,더스크의수문장듄켈,ko
boss_alias_b10515f0381362ffb68e,Verus Hilla,verushilla,en
boss_alias_6af4f55673efdfef00ea,진 힐라,진힐라,ko
boss_alias_bf56582cd68e1ab4027f,Black Mage,blackmage,en
boss_alias_da27bb30b4f8589ea9b7,검은 마법사,검은마법사,ko
boss_alias_f86e8e1344436bb74868,검마,검마,ko
boss_alias_f73ae488b5d6237a6873,Seren,seren,en
boss_alias_dfea9416cf63039a8c16,세렌,세렌,ko
boss_alias_0142ca9aa38a023763a3,선택받은 세렌,선택받은세렌,ko
boss_alias_bed9a7916c028f24ede9,Kalos,kalos,en
boss_alias_4767aa1739a09ab668f7,칼로스,칼로스,ko
boss_alias_25dbb7f9d616a63d52ae,감시자 칼로스,감시자칼로스,ko
boss_alias_3cc8ef1fdad3dd85ea34,Kaling,kaling,en
boss_alias_0e323bd68b59ecdcc04a,카링,카링,ko
boss_alias_47ba4ecca142bb175c5a,Limbo,limbo,en
boss_alias_625a5b09700a98467ce3,림보,림보,ko
