NO(Main),NO(Sub),요구사항명,상세 요구사항 정의,유형,구분,도출단계,상태,출처,제약사항,수용여부
1,1.1,서비스 기획,서비스 목적 정의 - 메이플스토리 데이터를 기반으로 답변/판단/추천/예측을 제공하는 LLM 기반 지능형 지원 시스템 구축,기획,전체,-,완료,-,-,-
1,1.2,요구사항 정의,기능 요구사항 정리 - 시스템에서 제공할 기능 목록 및 우선순위 정의,기획,전체,-,완료,-,-,-
2,2.1,데이터 수집,데이터셋 확보 - Nexon Open API를 통해 캐릭터/장비/스탯/유니온 등 정형 데이터 수집. 공식 공지·패치노트·이벤트 문서 크롤링,데이터,전체,-,완료,Nexon Open API,-,-
2,2.2,데이터 전처리,결측치 및 이상치 처리 - 수집 데이터의 누락값 보완 및 이상값 제거. 텍스트 정규화 및 청킹 처리,데이터,전체,-,완료,-,-,-
2,2.3,Feature 생성,RFM 및 파생 변수 생성 - 캐릭터 성장 효율 분석을 위한 파생 변수(전투력 증가율 등) 산출,데이터,전체,-,진행,-,-,-
3,3.1,RAG 구축 - DB Search,PostgreSQL + PGVector 기반 벡터 검색 RAG 구현 - 공식 문서 임베딩 저장 및 유사도 검색,모델,전체,-,진행,PGVector,-,-
3,3.2,RAG 구축 - Web Search,웹 검색 연동 RAG 구현 - 실시간 공식 공지 및 패치노트 검색 결과를 LLM에 통합,모델,전체,-,진행,-,-,-
3,3.3,그래프DB 연동,Neo4j 기반 지식 그래프 구축 - 직업/보스/아이템/이벤트 간 연관 관계 정의 및 쿼리 지원,모델,전체,-,진행,Neo4j 스키마 정의서,-,-
3,3.4,ML 모델 개발,성장 정체 예측 및 보스 클리어 가능성 분류 모델 개발 - 캐릭터 스탯/장비 데이터를 기반으로 ML 모델 학습 및 추론 파이프라인 구축,모델,전체,-,대기,-,-,-
4,4.1,질의응답 기능,문서 기반 Q&A - 사용자 자연어 질문에 대해 관련 문서를 검색하고 LLM이 출처 포함 답변 생성,서비스,전체,-,대기,-,-,-
4,4.2,판단 기능,보스 클리어 가능성 판단 - 캐릭터 스탯/장비/유니온 정보를 기반으로 목표 보스 도전 가능 여부 및 부족 스탯 분석,서비스,전체,-,대기,-,Nexon API 데이터 15분 지연,-
4,4.3,추천 기능,맞춤형 성장 경로 추천 - 캐릭터 현황과 진행 중인 이벤트를 함께 고려하여 콘텐츠/장비 강화 우선순위 제시,서비스,전체,-,대기,-,-,-
4,4.5,출처 및 신뢰도 표시,답변에 출처 문서와 신뢰도 등급(HIGH/MEDIUM/LOW) 표시 - 공식 API는 HIGH·커뮤니티 문서는 MEDIUM으로 구분,서비스,전체,-,대기,-,-,-
5,5.1,MultiAgent - Research,게임 정보 조사 에이전트 - RAG 검색 및 웹 검색을 수행하여 관련 문서를 수집,모델,전체,-,대기,-,-,-
5,5.2,MultiAgent - Analytic,분석 에이전트 - 캐릭터 스펙과 보스 요구 스탯을 비교 분석하고 병목 구간 도출,모델,전체,-,대기,-,-,-
5,5.3,MultiAgent - Calculator,계산 에이전트 - 딜 시뮬레이션 및 성장 비용/기간 예측 수치 계산,모델,전체,-,대기,-,-,-
5,5.4,MultiAgent - Final Answer,최종 답변 생성 에이전트 - 각 에이전트 결과를 종합하여 사용자에게 최종 응답 생성,모델,전체,-,대기,-,-,-
5,5.5,MultiAgent - Supervisor,슈퍼바이저 에이전트 - 사용자 의도 분류 및 적절한 에이전트 라우팅 관리,모델,전체,-,대기,-,-,-
6,6.1,모델 평가 - Evaluation,평가 파이프라인 구축 - 답변 정확도·관련성·충실도 측정 지표 정의 및 테스트셋 구성,모델,전체,-,대기,-,-,-
6,6.2,모델 평가 - RAGAS,RAGAS 프레임워크 적용 - Context Precision·Recall·Answer Faithfulness 자동 평가,모델,전체,-,대기,-,-,-
7,7.1,UI 개발,Streamlit 화면 구현 - 챗봇 입력/출력 화면·캐릭터 조회·결과 시각화 UI 개발,서비스,전체,-,대기,-,-,-
7,7.2,Nexon API 연동,Nexon Open API 연결 - 캐릭터명 입력 시 ocid 조회 후 스탯/장비/유니온 데이터를 실시간으로 호출하여 시스템에 전달,서비스,전체,-,대기,-,API 키 필요 / 데이터 갱신 15분 지연,
7,7.3,코드 통합,전체 모듈 통합 - 각 컴포넌트(RAG/Agent/DB/UI) 연결 및 End-to-End 동작 검증,서비스,전체,-,대기,-,-,-
8,8.1,시스템 테스트,통합 테스트 - 전체 시나리오 기반 기능 테스트 및 오류 수정,서비스,전체,-,대기,-,-,-
9,9.1,README 작성,프로젝트 설명 문서 작성 - 설치 방법·사용법·아키텍처 다이어그램 포함,문서,전체,-,대기,-,-,-
9,9.2,발표 준비,최종 발표 자료 준비 - 시스템 데모 및 결과 발표,문서,전체,-,대기,-,-,-
