user_input,reference_contexts,reference,persona_name,query_style,query_length
데몬슬레이어 5차 코어 강화 우선순위는 어떤 기준으로 잡아야 해?,"[""class_5th_core_priority 문서에는 데몬슬레이어 5차 코어 강화가 직업 고유 5차 스킬, 주력 보스 딜링기, 주력 사냥기를 기준으로 우선순위를 잡는다고 적재되어 있다.""]","데몬슬레이어 5차 코어 강화는 사용 빈도가 높은 직업 고유 5차 스킬을 우선하고, 강화 코어는 주력 보스 딜링기와 사냥기를 포함하는 유효 코어 조합을 목표로 한다.",Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
나이트로드 5차 코어 강화 우선순위는 어떤 기준으로 잡아야 해?,"[""class_5th_core_priority 문서에는 나이트로드 5차 코어 강화 우선순위가 직업 고유 5차 스킬과 주력 보스/사냥 코어 중심으로 정리되어 있다.""]",나이트로드 5차 코어 강화는 실제 사용 빈도가 높은 직업 고유 5차 스킬과 주력 보스/사냥 코어를 우선하는 방식으로 잡는다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
패스파인더 6차 HEXA 강화 우선순위는 어떻게 잡아야 해?,"[""class_6th_hexa_priority 문서에는 패스파인더 6차 HEXA 강화가 6차 전직 이후 솔 에르다 조각 투자 우선순위 문서로 적재되어 있다.""]",패스파인더 6차 HEXA 강화는 주력 6차 스킬과 마스터리/강화 효과를 중심으로 솔 에르다 조각 투자 우선순위를 잡는다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
아델 6차 HEXA 강화 우선순위는 어떻게 잡아야 해?,"[""class_6th_hexa_priority 문서에는 아델 6차 HEXA 강화 우선순위가 직업별 6차 강화 기준 문서로 적재되어 있다.""]",아델 6차 HEXA 강화는 주력 6차 스킬과 보스/사냥 기여도가 큰 강화 항목을 먼저 투자하는 기준으로 잡는다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
듀얼블레이드 6차 HEXA 강화 우선순위는 어떻게 잡아야 해?,"[""class_6th_hexa_priority 문서에는 듀얼블레이드 6차 HEXA 강화 우선순위가 직업별 6차 강화 기준 문서로 적재되어 있다.""]",듀얼블레이드 6차 HEXA 강화는 주력 6차 스킬과 실전 딜 비중이 높은 강화 항목을 우선하는 방향으로 잡는다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
하이퍼 버닝 부스터를 드려요 이벤트 기간은 어떻게 적재되어 있어?,"[""official_event 문서에는 하이퍼 버닝 부스터를 드려요! 이벤트가 2026.03.19부터 2026.06.17까지 진행되는 것으로 적재되어 있다.""]",하이퍼 버닝 부스터를 드려요! 이벤트 기간은 2026년 3월 19일부터 2026년 6월 17일까지로 적재되어 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
프리미엄PC방 접속보상 이벤트 기간은 어떻게 적재되어 있어?,"[""official_event 문서에는 프리미엄PC방 접속보상 이벤트가 2026.04.17부터 2026.05.14까지로 함께 노출되어 있다.""]",프리미엄PC방 접속보상 이벤트 기간은 2026년 4월 17일부터 2026년 5월 14일까지로 적재되어 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
어린이날 메이플 몬스터즈 이벤트 기간은 어떻게 적재되어 있어?,"[""official_event 문서에는 [어린이날] 메이플 몬스터즈가 2026.04.30부터 2026.05.06까지 진행되는 것으로 적재되어 있다.""]",[어린이날] 메이플 몬스터즈 이벤트 기간은 2026년 4월 30일부터 2026년 5월 6일까지로 적재되어 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
사냥 이벤트 악몽의 메아리 기간은 어떻게 적재되어 있어?,"[""official_event 문서에는 [사냥 이벤트] 악몽의 메아리가 2026.04.16부터 2026.06.17까지 진행되는 것으로 적재되어 있다.""]",[사냥 이벤트] 악몽의 메아리 기간은 2026년 4월 16일부터 2026년 6월 17일까지로 적재되어 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
썬데이 메이플 2026년 5월 3일 이벤트 기간은 어떻게 적재되어 있어?,"[""official_event 문서에는 썬데이 메이플이 2026.05.03 하루 진행되는 것으로 적재되어 있다.""]",썬데이 메이플은 2026년 5월 3일 하루 진행되는 이벤트로 적재되어 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
