user_input,reference_contexts,reference,persona_name,query_style,query_length
아델 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 아델이 전사 직업군이며 main_stat 값이 STR인 레프 계열 전사로 적재되어 있다.""]",아델은 전사 직업군이고 주스탯은 STR이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
히어로 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 히어로가 전사 직업군이며 main_stat 값이 STR로 적재되어 있다.""]",히어로는 전사 직업군이고 주스탯은 STR이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
팔라딘 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 팔라딘이 전사 직업군이며 main_stat 값이 STR로 적재되어 있다.""]",팔라딘은 전사 직업군이고 주스탯은 STR이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
다크나이트 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 다크나이트가 전사 직업군이며 main_stat 값이 STR로 적재되어 있다.""]",다크나이트는 전사 직업군이고 주스탯은 STR이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
섀도어 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 섀도어가 도적 직업군이며 main_stat 값이 LUK로 적재되어 있다.""]",섀도어는 도적 직업군이고 주스탯은 LUK이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
나이트로드 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 나이트로드가 도적 직업군이며 main_stat 값이 LUK로 적재되어 있다.""]",나이트로드는 도적 직업군이고 주스탯은 LUK이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
듀얼블레이드 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 듀얼블레이드가 도적 직업군이며 main_stat 값이 LUK로 적재되어 있다.""]",듀얼블레이드는 도적 직업군이고 주스탯은 LUK이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
카데나 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 카데나가 도적 직업군이며 main_stat 값이 LUK로 적재되어 있다.""]",카데나는 도적 직업군이고 주스탯은 LUK이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
메르세데스 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 메르세데스가 궁수 직업군이며 main_stat 값이 DEX로 적재되어 있다.""]",메르세데스는 궁수 직업군이고 주스탯은 DEX이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
보우마스터 직업군과 주스탯은 무엇인가?,"[""Neo4j jobs seed에는 보우마스터가 궁수 직업군이며 main_stat 값이 DEX로 적재되어 있다.""]",보우마스터는 궁수 직업군이고 주스탯은 DEX이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,SHORT
