user_input,reference_contexts,reference,persona_name,query_style,query_length
"데몬슬레이어 5차 코어 강화 우선순위는 어떤 기준으로 잡아야 해?","[""데몬슬레이어 5차 코어 강화 우선순위 문서에는 직업 고유 5차 스킬 노드는 보스/사냥에서 실제 사용 빈도가 높은 스킬부터 강화하고, 강화 코어는 주력 보스 딜링기와 주력 사냥기를 우선 포함하는 유효 코어 조합을 목표로 하며, 공용 코어는 쓸만한 홀리 심볼, 에르다 노바, 에르다 샤워/파운틴, 로프 커넥트 등을 목적별로 선택한다고 적재되어 있다.""]","데몬슬레이어 5차 코어 강화는 사용 빈도가 높은 직업 고유 5차 스킬을 우선하고, 강화 코어는 주력 보스 딜링기와 사냥기를 포함하는 유효 코어 조합을 목표로 하며, 공용 코어는 목적에 맞게 선택하는 방식으로 우선순위를 잡는다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"하이퍼 버닝 부스터 이벤트는 어떤 기간으로 적재되어 있어?","[""공식 이벤트 문서 목록에는 하이퍼 버닝 부스터를 드려요! 이벤트가 2026.03.19 (목)부터 2026.06.17 (수)까지 진행되는 것으로 적재되어 있다.""]","하이퍼 버닝 부스터를 드려요! 이벤트 기간은 2026년 3월 19일 목요일부터 2026년 6월 17일 수요일까지로 적재되어 있다.","Maple RAG Evaluator","PERFECT_GRAMMAR","SHORT"
"아델 직업군 주스탯은 무엇인가?","[""Neo4j jobs seed에는 아델이 전사 직업군이며 main_stat 값이 STR인 레프 계열 전사로 적재되어 있다.""]","아델은 전사 직업군이고 주스탯은 STR이다.","Maple RAG Evaluator","PERFECT_GRAMMAR","SHORT"
"노멀 스우 level main_stat boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 노멀 스우가 level 220, main_stat 15000, arcane_force 0, boss_damage 150, ignore_def 85, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 스우 요구 스펙 초안은 레벨 220, 주스탯 15000, 보스 데미지 150, 방어율 무시 85, 아케인포스 0, 어센틱포스 0이며 confidence는 draft로 적재되어 있다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"진 힐라 level main_stat boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 진 힐라가 level 250, main_stat 65000, arcane_force 900, boss_damage 350, ignore_def 94, authentic_force 0, confidence draft로 적재되어 있다.""]","진 힐라 요구 스펙 초안은 레벨 250, 주스탯 65000, 아케인포스 900, 보스 데미지 350, 방어율 무시 94, 어센틱포스 0이며 confidence는 draft로 적재되어 있다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"프리미엄PC방 접속보상 이벤트 기간은 언제야?","[""공식 이벤트 문서 목록에는 프리미엄PC방 접속보상 이벤트가 2026.04.17 (금)부터 2026.05.14 (목)까지 진행되는 것으로 적재되어 있다.""]","프리미엄PC방 접속보상 이벤트 기간은 2026년 4월 17일 금요일부터 2026년 5월 14일 목요일까지다.","Maple RAG Evaluator","PERFECT_GRAMMAR","SHORT"
"진의 신비한 정원 이벤트 기간은 언제야?","[""공식 이벤트 문서 목록에는 진의 신비한 정원 이벤트가 2026.03.23 (월)부터 2026.05.13 (수)까지 진행되는 것으로 적재되어 있다.""]","진의 신비한 정원 이벤트 기간은 2026년 3월 23일 월요일부터 2026년 5월 13일 수요일까지다.","Maple RAG Evaluator","PERFECT_GRAMMAR","SHORT"
"나이트로드 5차 코어 강화 우선순위는 어떤 기준이야?","[""나이트로드 5차 코어 강화 우선순위 문서에는 직업 고유 5차 스킬 노드는 보스/사냥에서 실제 사용 빈도가 높은 스킬부터 강화하고, 강화 코어는 주력 보스 딜링기와 주력 사냥기를 우선 포함하는 유효 코어 조합을 목표로 하며, 공용 코어는 목적별로 선택한다고 적재되어 있다.""]","나이트로드 5차 코어 강화는 실제 사용 빈도가 높은 직업 고유 5차 스킬을 우선하고, 주력 보스 딜링기와 사냥기를 포함한 유효 강화 코어 조합을 목표로 한다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"패스파인더 6차 HEXA 강화 우선순위는 어떻게 잡아야 해?","[""패스파인더 6차 HEXA 강화 우선순위 문서에는 오리진 스킬 해금과 주요 효율 구간을 우선 확인하고, 주력 보스 딜링기 또는 사냥 주력기를 바꾸는 마스터리 코어를 우선 강화하며, 자주 사용하는 직업 고유 5차 스킬 강화 코어와 HEXA Stat 조합을 검토한다고 적재되어 있다.""]","패스파인더 6차 HEXA는 오리진 스킬과 핵심 효율 구간을 먼저 확인하고, 주력 보스 딜링기나 사냥기를 바꾸는 마스터리 코어를 우선 강화한 뒤 5차 강화 코어와 HEXA Stat을 조정한다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"아델 6차 HEXA 강화 우선순위는 어떻게 잡아야 해?","[""아델 6차 HEXA 강화 우선순위 문서에는 오리진 스킬은 6차 핵심 극딜/바인드 축이므로 해금과 주요 효율 구간을 우선 확인하고, 주력 보스 딜링기 또는 사냥 주력기를 바꾸는 마스터리 코어를 우선 강화한다고 적재되어 있다.""]","아델 6차 HEXA는 오리진 스킬의 해금과 주요 효율 구간을 먼저 확인하고, 주력 보스 딜링기 또는 사냥 주력기를 바꾸는 마스터리 코어를 우선 강화하는 방향으로 잡는다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"듀얼블레이드 6차 HEXA 강화 우선순위는 어떻게 잡아야 해?","[""듀얼블레이드 6차 HEXA 강화 우선순위 문서에는 오리진 스킬 해금과 주요 효율 구간을 우선 확인하고, 주력 보스 딜링기 또는 사냥 주력기를 바꾸는 마스터리 코어를 우선 강화하며, HEXA Stat은 부족 스탯에 맞춰 선택한다고 적재되어 있다.""]","듀얼블레이드 6차 HEXA는 오리진 스킬과 효율 구간을 우선 확인하고, 주력 보스 딜링기나 사냥 주력기에 영향을 주는 마스터리 코어를 먼저 강화한 뒤 부족한 스탯에 맞춰 HEXA Stat을 선택한다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"노멀 데미안 level main_stat boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 노멀 데미안이 level 220, main_stat 15000, arcane_force 0, boss_damage 150, ignore_def 85, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 데미안 요구 스펙 초안은 레벨 220, 주스탯 15000, 보스 데미지 150, 방어율 무시 85, 아케인포스 0, 어센틱포스 0이며 confidence는 draft다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"노멀 루시드 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 노멀 루시드가 level 235, main_stat 25000, arcane_force 360, boss_damage 200, ignore_def 90, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 루시드 요구 스펙 초안은 레벨 235, 주스탯 25000, 아케인포스 360, 보스 데미지 200, 방어율 무시 90, 어센틱포스 0이며 confidence는 draft다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"노멀 윌 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 노멀 윌이 level 235, main_stat 28000, arcane_force 760, boss_damage 220, ignore_def 90, authentic_force 0, confidence draft로 적재되어 있다.""]","노멀 윌 요구 스펙 초안은 레벨 235, 주스탯 28000, 아케인포스 760, 보스 데미지 220, 방어율 무시 90, 어센틱포스 0이며 confidence는 draft다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"하드 루시드 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 하드 루시드가 level 250, main_stat 50000, arcane_force 360, boss_damage 300, ignore_def 93, authentic_force 0, confidence draft로 적재되어 있다.""]","하드 루시드 요구 스펙 초안은 레벨 250, 주스탯 50000, 아케인포스 360, 보스 데미지 300, 방어율 무시 93, 어센틱포스 0이며 confidence는 draft다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"하드 윌 level main_stat arcane_force boss_damage ignore_def 요구 스펙은?","[""Neo4j stat_requirements seed에는 하드 윌이 level 250, main_stat 55000, arcane_force 760, boss_damage 320, ignore_def 93, authentic_force 0, confidence draft로 적재되어 있다.""]","하드 윌 요구 스펙 초안은 레벨 250, 주스탯 55000, 아케인포스 760, 보스 데미지 320, 방어율 무시 93, 어센틱포스 0이며 confidence는 draft다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"카오스 자쿰 level main_stat boss_damage 요구 스펙은?","[""Neo4j stat_requirements seed에는 카오스 자쿰이 level 150, main_stat 3000, arcane_force 0, boss_damage 50, ignore_def 0, authentic_force 0, confidence draft로 적재되어 있다.""]","카오스 자쿰 요구 스펙 초안은 레벨 150, 주스탯 3000, 보스 데미지 50, 방어율 무시 0, 아케인포스 0, 어센틱포스 0이며 confidence는 draft다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"메이플 스위츠 이벤트 스킬 문서에는 어떤 장점이 언급돼?","[""메이플 스위츠 이벤트 문서에는 출석에 제약 받지 않고 강화 스킬을 빠르게 올릴 수 있어서 좋다는 내용이 적재되어 있다.""]","메이플 스위츠 이벤트 스킬 문서에는 출석 제약 없이 강화 스킬을 빠르게 올릴 수 있다는 장점이 언급되어 있다.","Maple RAG Evaluator","PERFECT_GRAMMAR","SHORT"
"체인지 버닝 악몽의 숲 수정 공지에서 보상 획득 가능 시간은 어떻게 수정됐어?","[""수정 [체인지 버닝] 악몽의 숲 문서에는 보상 획득 가능 시간 안내를 2분으로 수정했다는 내용과 2026년 3월 30일 오후 5시 15분 수정 시각이 적재되어 있다.""]","체인지 버닝 악몽의 숲 수정 공지에서는 보상 획득 가능 시간 안내가 2분으로 수정되었다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
"몽환의 결정 옵션 중 스킬 재사용 대기시간 감소 설명은 어떻게 수정됐어?","[""수정2 [체인지 버닝] 몽환의 장비 & 몽환의 결정 문서에는 몽환의 결정 옵션으로 최대 9초 감소 가능하며, 5초 미만으로는 감소시킬 수 없다는 설명이 추가 또는 수정되어 있다.""]","몽환의 결정 옵션 중 스킬 재사용 대기시간 감소는 최대 9초까지 가능하며, 5초 미만으로는 감소시킬 수 없다는 내용으로 수정되었다.","Maple RAG Evaluator","PERFECT_GRAMMAR","MEDIUM"
