user_input,reference_contexts,reference,persona_name,query_style,query_length
메이플스토리 공식 사이트에서 하이퍼 버닝 부스터를 드려요 이벤트 기간은 언제야?,"[""공식 웹 문서에는 하이퍼 버닝 부스터를 드려요! 이벤트가 2026.03.19부터 2026.06.17까지 진행되는 이벤트로 안내되어 있다.""]",하이퍼 버닝 부스터를 드려요! 이벤트 기간은 2026년 3월 19일부터 2026년 6월 17일까지이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 프리미엄PC방 접속보상 이벤트 기간은 언제야?,"[""공식 웹 문서에는 프리미엄PC방 접속보상 이벤트가 2026.04.17부터 2026.05.14까지 진행되는 이벤트로 안내되어 있다.""]",프리미엄PC방 접속보상 이벤트 기간은 2026년 4월 17일부터 2026년 5월 14일까지이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 어린이날 메이플 몬스터즈 이벤트 기간은 언제야?,"[""공식 웹 문서에는 [어린이날] 메이플 몬스터즈 이벤트가 2026.04.30부터 2026.05.06까지 진행되는 이벤트로 안내되어 있다.""]",[어린이날] 메이플 몬스터즈 이벤트 기간은 2026년 4월 30일부터 2026년 5월 6일까지이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 사냥 이벤트 악몽의 메아리 기간은 언제야?,"[""공식 웹 문서에는 [사냥 이벤트] 악몽의 메아리가 2026.04.16부터 2026.06.17까지 진행되는 이벤트로 안내되어 있다.""]",[사냥 이벤트] 악몽의 메아리 기간은 2026년 4월 16일부터 2026년 6월 17일까지이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 썬데이 메이플 2026년 5월 3일 이벤트 기간은 언제야?,"[""공식 웹 문서에는 썬데이 메이플이 2026.05.03부터 2026.05.03까지 진행되는 이벤트로 안내되어 있다.""]",썬데이 메이플은 2026년 5월 3일 하루 진행되는 이벤트이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 수정 체인지 버닝 악몽의 숲 보상 획득 가능 시간은 어떻게 바뀌었어?,"[""공식 웹 공지에는 수정 [체인지 버닝] 악몽의 숲의 보상 획득 가능 시간 안내가 2분으로 수정되었다고 안내되어 있다.""]",수정 [체인지 버닝] 악몽의 숲 공지에서는 보상 획득 가능 시간이 2분으로 수정되었다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 몽환의 결정 스킬 재사용 대기시간 감소 설명은 어떻게 안내돼?,"[""공식 웹 공지에는 몽환의 결정 옵션으로 최대 9초 감소 가능하며 5초 미만으로는 감소시킬 수 없다고 안내되어 있다.""]",몽환의 결정 스킬 재사용 대기시간 감소 옵션은 최대 9초까지 가능하고 5초 미만으로는 감소시킬 수 없다고 안내되어 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 이벤트 스킬 메이플 스위츠는 어떤 장점이 있어?,"[""공식 웹 문서에는 메이플 스위츠 이벤트 스킬을 통해 출석 제약 없이 강화 스킬을 빠르게 올릴 수 있다는 내용이 포함되어 있다.""]",메이플 스위츠 이벤트 스킬은 출석 제약 없이 강화 스킬을 빠르게 올릴 수 있다는 장점이 있다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 체인지 버닝 드림 샤드샵은 어떤 성장 보상을 다뤄?,"[""공식 웹 문서에는 드림 샤드샵이 솔 에르다 조각과 솔 에르다 같은 6차 성장 보상과 관련된 이벤트 샵으로 안내되어 있다.""]",드림 샤드샵은 솔 에르다 조각과 솔 에르다 같은 6차 성장 보상을 다루는 이벤트 샵이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
메이플스토리 공식 사이트에서 HAPPY MAPLE DAY in LotteWorld는 어떤 행사야?,"[""공식 웹 문서에는 HAPPY MAPLE DAY in LotteWorld가 롯데월드와 관련된 오프라인 행사 안내로 노출되어 있다.""]",HAPPY MAPLE DAY in LotteWorld는 메이플스토리와 롯데월드가 연결된 오프라인 행사 안내이다.,Maple RAG Evaluator,PERFECT_GRAMMAR,MEDIUM
