active_for_matching,boss_name,difficulty,entry_level,required_level,required_combat_power,required_main_stat,required_attack_power,required_magic_power,required_boss_damage,required_ignore_def,required_crit_rate,required_crit_damage,required_final_damage,required_arcane_force,required_authentic_force,required_starforce,required_union_level,required_mulung_floor,legacy_stat_attack_cut,cut_basis,source_name,source_url,reliability,notes
true,이지 자쿰,EASY,50,50,3000,500,60,60,0,0,50,0,0,,,0,0,,5000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023;MapleScouter_Input,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757|https://maplescouter.com/ko/input,MEDIUM_DERIVED,detail stats are tier estimates from combat power and common bossing priorities
true,노멀 자쿰,NORMAL,90,110,20000,1000,100,100,0,0,50,0,0,,,0,0,,15000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023;MapleScouter_Input,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757|https://maplescouter.com/ko/input,MEDIUM_DERIVED,detail stats are tier estimates from combat power and common bossing priorities
true,카오스 자쿰,CHAOS,90,180,900000,7500,700,700,100,80,80,15,0,,,0,2000,,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,IED and boss damage are derived estimates
true,이지 파풀라투스,EASY,115,125,300000,3500,450,450,60,70,80,10,0,,,0,0,,400000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023;MapleScouter_Input,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757|https://maplescouter.com/ko/input,MEDIUM_DERIVED,detail stats are tier estimates from combat power and common bossing priorities
true,노멀 파풀라투스,NORMAL,155,155,1500000,9500,900,900,130,80,90,20,0,,,70,2000,,1500000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023;MapleScouter_Input,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757|https://maplescouter.com/ko/input,MEDIUM_DERIVED,detail stats are tier estimates from combat power and common bossing priorities
true,카오스 파풀라투스,CHAOS,190,190,6000000,16000,1600,1600,190,87,100,35,0,,,100,4000,41,,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MapleStoryWiki;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://maplestorywiki.net/w/Bosses|https://metdori.tistory.com/13,MEDIUM_DERIVED,chaos papulatus uses higher IED tier
true,이지 매그너스,EASY,115,110,150000,2500,250,250,30,0,60,5,0,,,0,0,,150000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,노멀 매그너스,NORMAL,155,130,400000,4500,450,450,60,70,80,10,0,,,0,0,,1300000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,하드 매그너스,HARD,175,190,3000000,12000,1200,1200,190,85,90,30,0,,,70,4000,35,3000000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;Easygoingway_2023;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://easygoingway.tistory.com/757|https://metdori.tistory.com/13,MEDIUM_DERIVED,CRA adjacent detailed estimate
true,노멀 힐라,NORMAL,85,110,150000,2500,250,250,30,0,60,5,0,,,0,0,,250000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,하드 힐라,HARD,170,190,800000,7500,700,700,100,80,80,15,0,,,0,2000,32,1300000,combat_power_min_cut+derived_detail_stats,Loat_2025;Inven_2025;MapleStoryWiki;Metdori_IED,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://www.inven.co.kr/board/maple/5974/4787694|https://maplestorywiki.net/w/Bosses|https://metdori.tistory.com/13,MEDIUM_DERIVED,sub CRA bossing tier estimate
true,이지 혼테일,EASY,130,130,120000,2500,250,250,30,0,60,5,0,,,0,0,,150000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
true,노멀 혼테일,NORMAL,130,160,150000,2500,250,250,30,0,60,5,0,,,0,0,,250000,combat_power_min_cut+derived_detail_stats,Loat_2025;MapleStoryWiki;Easygoingway_2023,https://loat.tistory.com/entry/%EB%A9%94%EC%9D%B4%ED%94%8C%EC%8A%A4%ED%86%A0%EB%A6%AC%EB%B3%B4%EC%8A%A4-%EC%A0%84%ED%88%AC%EB%A0%A5-%ED%91%9C-%EC%A0%84%EC%B2%B4-%EB%B3%B4%EC%8A%A4|https://maplestorywiki.net/w/Bosses|https://easygoingway.tistory.com/757,MEDIUM_DERIVED,detail stats are tier estimates from combat power
